Name,Country,UN Region Level 1,UN Region Level 2,Population,POINT_X,POINT_Y,GDP ($PPP 2013),GDP/Capita (per country) 2013 - World Bank Data,Expenditure,Revenue,Voters Turnout (latest election),Policy sectors count,Local policies count,Size
Cartagena,Colombia,South America,Latin America and the Caribbean,987000,-75.533577,10.41373,631579000,7831.2,378947400,384000000,29.00%,9,4,0.5m - 1m
Centelles,Spain,Southern Europe,Europe,7367,2.222227,41.797375,4505641.2,29882.1,5006268,5790708,63.200%,7,3,<0.5m
Durban,South Africa,Southern Africa,Africa,3500000,31.02184,-29.85868,1069598010,6886.3,6500000000,7500000000,60.0%,11,3,1m - 5m
Elvas,Portugal,Southern Europe,Europe,23078,-7.163664,38.880279,21975555.2,21738.3,21975548.1,23728196.97,29.5200%,n/a,4,<0.5m
Fagara,Romania,Eastern Europe,Europe,32440,24.974167,45.844722,1999276,9490.8,4000000,1250000,30.0%,11,4,<0.5m
Fortaleza,Brazil,South America,Latin America and the Caribbean,2800000,-38.526739,-3.731903,11239500,15898,24242197,26099703,80.0%,1,5,1m - 5m
City of Gaza,Palestine,Western Asia,Asia,477271,34.352024,31.412511,72727220,876,79999942,78595965,n/a,5,1,<0.5m
Ghent,Belgium,Western Europe,Europe,250284,3.717424,51.054342,914395013.2,46929.6,831268193.8,826870480.7,90.3200%,7,5,<0.5m
Gothenburg,Sweden,Northern Europe,Europe,533260,11.97456,57.70887,3730276267,60380.9,39952900000,42060200000,74.100%,8,2,0.5m - 1m
Graz,Austria,Western Europe,Europe,305000,15.439504,47.070714,1019349469,50510.7,926681336,922594627,55.4700%,8,4,<0.5m
Hunedoara,Romania,Eastern Europe,Europe,58755,22.920278,45.769722,26940245,9490.8,49000000,45000000,46.1700%,11,5,<0.5m
Hyderabad ,India,South-Central asia,Asia,6809970,78.486671,17.385044,723170214,1497.5,13797000000,4320000000,46.00%,3,2,5m - 10m
Ilo,Peru,South America,Latin America and the Caribbean,63780,-71.345314,-17.645858,n/a,6661.6,150887547,212175015,n/a,7,5,<0.5m
Istanbul,Turkey,Western Asia,Asia,14160467,29.272754,40.964131,3700000000,10971.7,2220000000,2040000000,90.6600%,n/a,2,5m - 10m
Kajaran,Armenia,Western Asia,Asia,7354,46.16,39.151111,640443,3090,121153.84,121153.84,69.600%,11,0,<0.5m
Khan Yunis,Palestine,Western Asia,Asia,230000,34.299682,31.349977,4500000,876,4950000,2750000,n/a,9,2,<0.5m
La Paz,Bolivia,South America,Latin America and the Caribbean,840207,-68.15,-16.5,1800000000,2867.6,900000000,900000000,72.00%,8,2,0.5m - 1m
